No,Kabupaten/Kota,Nama Destinasi
1,Kabupaten Bangkalan,Agro Edu Wisata Kebun Bang Jani
2,Kabupaten Bangkalan,Pantai Rindu
3,Kabupaten Bangkalan,Wisata Alam Kesek
4,Kabupaten Bangkalan,Pandela (Pantai Desa Lajing)
5,Kabupaten Bangkalan,Makam Agung Arosbaya
6,Kabupaten Bangkalan,Pantai Biru
7,Kabupaten Bangkalan,Api Alam Konang
8,Kabupaten Bangkalan,Air Terjun Kokop Dhurjan
9,Kabupaten Bangkalan,Bukit Kapur Parseh
10,Kabupaten Bangkalan,Gunung Geger
11,Kabupaten Bangkalan,Hutan Mangrove Labuhan
12,Kabupaten Bangkalan,Pantai Biru
13,Kabupaten Bangkalan,Pantai Meneron
14,Kabupaten Bangkalan,Pantai Rongkang
15,Kabupaten Bangkalan,Pantai Siring Kemuning
16,Kabupaten Bangkalan,Pantai Lobuk Bumi Anyar
17,Kabupaten Bangkalan,Mercusuar
18,Kabupaten Bangkalan,Goa Pelanglangan
19,Kabupaten Bangkalan,Situs Benteng Erfprins
20,Kabupaten Bangkalan,Taman Rekreasi Kota Bangkalan
21,Kabupaten Bangkalan,Stadion Kerapan Sapi R.P Moh Noer
22,Kabupaten Bangkalan,Kolla Langgundih
23,Kabupaten Bangkalan,Makam Aer Mata Ebu
24,Kabupaten Bangkalan,Makam Sultan Abdul Kadirun
25,Kabupaten Bangkalan,Makam Sunan Cendana
26,Kabupaten Bangkalan,Makam Syechona Cholil
27,Kabupaten Bangkalan,Museum Bangkalan Cakraningrat
28,Kabupaten Banyuwangi,Desa Wisata Tamansari
29,Kabupaten Banyuwangi,Desa Wisata Kemiren
30,Kabupaten Banyuwangi,Desa Bangsring
31,Kabupaten Banyuwangi,Desa Wisata Wringin Putih
32,Kabupaten Banyuwangi,Pantai Rajegwesi
33,Kabupaten Banyuwangi,Desa Wisata Kaliploso
34,Kabupaten Banyuwangi,Desa Wisata Sumbersari
35,Kabupaten Banyuwangi,Desa Wisata Bengkak
36,Kabupaten Banyuwangi,Desa Wisata Sumberbulu
37,Kabupaten Banyuwangi,Desa Wisata Gombengsari
38,Kabupaten Bangkalan,MUSEUM PERUSNIA
39,Kabupaten Banyuwangi,Pantai Cemara
40,Kabupaten Banyuwangi,X-Badeng Rafting Adventure
41,Kabupaten Banyuwangi,Wisata Puncak Mondoleko
42,Kabupaten Banyuwangi,Rowo Bayu
43,Kabupaten Banyuwangi,Desa Wisata Margomulyo
44,Kabupaten Banyuwangi,Desa Wisata Sumbergondo
45,Kabupaten Banyuwangi,Desa Wisata Sumberagung
46,Kabupaten Banyuwangi,Desa Wisata Sumberarum
47,Kabupaten Banyuwangi,Desa Wisata Gintangan
48,Kabupaten Banyuwangi,Desa Wisata Pakis
49,Kabupaten Banyuwangi,Desa Wisata Sragi
50,Kabupaten Banyuwangi,Kampung Primitif (Prima Inovatif)
51,Kabupaten Banyuwangi,Desa Wisata Temenggungan
52,Kabupaten Banyuwangi,Desa Wisata Kampung Anyar
53,Kabupaten Banyuwangi,Desa Wisata Agro Taman Suruh
54,Kabupaten Banyuwangi,Desa Wisata Budaya Alasmalang
55,Kabupaten Banyuwangi,Desa Wisata Budaya Aliyan
56,Kabupaten Banyuwangi,Air Terjun Jagir
57,Kabupaten Banyuwangi,Air terjun lider
58,Kabupaten Banyuwangi,Air Terjun Temcor
59,Kabupaten Banyuwangi,Air Terjun Antogan
60,Kabupaten Banyuwangi,Bangsring Under Water
61,Kabupaten Banyuwangi,De Djawatan
62,Kabupaten Banyuwangi,Ekowisata Mangrove Bedul
63,Kabupaten Banyuwangi,Pantai Grajagan
64,Kabupaten Banyuwangi,Gunung Rante
65,Kabupaten Banyuwangi,Wisata Kalibendo
66,Kabupaten Banyuwangi,Kaliklatak Perkebunan
67,Kabupaten Banyuwangi,Kalisawah adventure
68,Kabupaten Banyuwangi,Kawah Ijen
69,Kabupaten Banyuwangi,Mangrove Bengkak
70,Kabupaten Banyuwangi,Pantai Blimbingsari
71,Kabupaten Banyuwangi,Pantai Cemara Kawang
72,Kabupaten Banyuwangi,Pantai Mustika Pancer
73,Kabupaten Banyuwangi,Pantai Pulau Santen
74,Kabupaten Banyuwangi,Pantai Parang Semar
75,Kabupaten Banyuwangi,Pantai Pulau Merah
76,Kabupaten Banyuwangi,Pulau Santen
77,Kabupaten Banyuwangi,Sendang Seruni
78,Kabupaten Banyuwangi,Pantai Sukamade
79,Kabupaten Banyuwangi,Telunjuk Raung
80,Kabupaten Bangkalan,Sungai Amazon
81,Kabupaten Banyuwangi,TN Meru Betiri
82,Kabupaten Banyuwangi,Wisata Alam Banyuanyar
